id_cidade;nome;LATITUDE;LONGITUDE
301159;Anadia;-9,68532039;-36,3080832
301587;Anagé;-14,6142574;-41,13901569
305063;Anahy;-24,64532911;-53,13367952
301940;Anajás;-0,997187441;-49,93578615
301703;Anajatuba;-3,264935477;-44,61668264
304576;Analândia;-22,12938936;-47,66234087
304640;Anamã;-3,56735124;-61,3967831
302007;Ananás;-6,364775202;-48,07384327
301932;Ananindeua;-1,364292741;-48,37467489
302402;Anápolis;-16,32854467;-48,95335414
304143;Anapu;-3,470236426;-51,20065814
301656;Anapurus;-3,674351303;-43,1093417
305600;Anastácio;-20,48273926;-55,81079956
304842;Anaurilândia;-22,18562855;-52,71948991
302522;Anchieta;-20,79598233;-40,64289451
305302;Anchieta;-26,53868327;-53,33236078
301574;Andaraí;-12,79524184;-41,32864666
304654;Andirá;-23,05373544;-50,23078026
301483;Andorinha;-10,34358203;-39,83377788
303539;Andradas;-22,06996182;-46,57276642
304395;Andradina;-20,89522052;-51,37899003
305529;André da Rocha;-28,62877072;-51,58017934
305000;Andrelândia;-21,74156703;-44,31206799
304657;Angatuba;-23,49220746;-48,41428288
302656;Angelândia;-17,72599492;-42,27296343
305752;Angélica;-22,15311465;-53,77122902
301119;Angelim;-8,888209952;-36,28803456
304057;Angelina;-27,57089296;-48,98829591
302086;Angical;-12,00911957;-44,70014247
301798;Angical do Piauí;-6,088272326;-42,74038983
302005;Angico;-6,392195499;-47,86151798
300522;Angicos;-5,658329221;-36,6097336
303602;Angra dos Reis;-23,00155729;-44,31994146
301416;Anguera;-12,15190115;-39,24405616
304781;Ângulo;-23,19507325;-51,91578822
303303;Anhanguera;-18,33699543;-48,21895163
303925;Anhembi;-22,78898882;-48,12695034
304688;Anhumas;-22,29500841;-51,38693843
302616;Anicuns;-16,45895516;-49,95885546
302057;Anísio de Abreu;-9,186068358;-43,0497574
305138;Anita Garibaldi;-27,69021948;-51,12758652
304062;Anitápolis;-27,90166622;-49,13206418
304642;Anori;-3,746412827;-61,65793251
305215;Anta Gorda;-28,97024785;-52,01064559
301291;Antas;-10,41315739;-38,3323452
303981;Antonina;-25,43907579;-48,71953228
301011;Antonina do Norte;-6,774744662;-39,98710491
301868;Antônio Almeida;-7,219454313;-44,19351847
301418;Antônio Cardoso;-12,43393997;-39,11787863
303122;Antônio Carlos;-21,32150982;-43,74550293
304051;Antônio Carlos;-27,51955353;-48,76643421
303560;Antônio Dias;-19,65375821;-42,87832068
301440;Antônio Gonçalves;-10,57215597;-40,27582699
305232;Antônio João;-22,19099235;-55,94793886
300761;Antônio Martins;-6,214078049;-37,88367214
304603;Antônio Olinto;-25,98085577;-50,19761392
305152;Antônio Prado;-28,85702208;-51,28871243
303252;Antônio Prado de Minas;-21,01966424;-42,11129754
300939;Aparecida;-6,785072475;-38,0805699
303458;Aparecida;-22,84998958;-45,23288343
303357;Aparecida de Goiânia;-16,82025493;-49,24725498
304342;Aparecida do Rio Doce;-18,29452277;-51,15202005
302207;Aparecida do Rio Negro;-9,952827806;-47,97203694
304386;Aparecida do Taboado;-20,08773283;-51,09655311
304391;Aparecida d'Oeste;-20,44919342;-50,88392377
304919;Aperibé;-21,62571454;-42,10202296
302637;Apiacá;-21,1527549;-41,56965394
304565;Apiacás;-9,540220016;-57,45910977
304951;Apiaí;-24,51129507;-48,84468797
301667;Apicum-Açu;-1,459001851;-45,08680614
304215;Apiúna;-27,03797357;-49,38893554
300745;Apodi;-5,653897572;-37,79490119
301369;Aporá;-11,66074981;-38,08062945
304450;Aporé;-18,96499553;-51,92594596
314369;Apóstoles;-27,90720752;-55,74417884
302382;Apuarema;-13,85585001;-39,74472609
304760;Apucarana;-23,55042737;-51,46391658
304247;Apuí;-7,198391671;-59,88524595
300692;Apuiarés;-3,945453945;-39,43624907
302373;Aquidabã;-10,27848023;-37,01507396
305599;Aquidauana;-20,46699928;-55,78723439
302345;Aquiraz;-3,899690046;-38,38987466
305122;Arabutã;-27,15916322;-52,14271086
300449;Araçagi;-6,852140363;-35,37932868
303059;Araçaí;-19,19597681;-44,24968038
295769;Aracaju;-10,91001463;-37,06827396
303744;Araçariguama;-23,43707483;-47,06122668
301372;Araças;-12,21439084;-38,2019574
300730;Aracati;-4,558660569;-37,76820147
301591;Aracatu;-14,42843997;-41,46512607
304457;Araçatuba;-21,20811074;-50,44052312
301393;Araci;-11,33333485;-38,95991699
303095;Aracitaba;-21,34509872;-43,37399037
300905;Aracoiaba;-4,369119906;-38,81282684
300469;Araçoiaba;-7,783307563;-35,08310665
303767;Araçoiaba da Serra;-23,50337758;-47,61701062
302888;Aracruz;-19,82052518;-40,27678545
302608;Araçu;-16,3567544;-49,68082471
302650;Araçuaí;-16,8527842;-42,06405137
304523;Aragarças;-15,90328694;-52,24504709
303375;Aragoiânia;-16,90914987;-49,44804942
302025;Aragominas;-7,167448973;-48,5273906
302248;Araguacema;-8,807963953;-49,55727441
302794;Araguaçu;-12,9272516;-49,83141774
304518;Araguaiana;-15,7240583;-51,83777506
302011;Araguaína;-7,192785336;-48,20478071
304786;Araguainha;-16,85694296;-53,03165243
302023;Araguanã;-6,579904432;-48,64270834
303035;Araguanã;-2,950695775;-45,66547354
304542;Araguapaz;-15,09129495;-50,631915
303307;Araguari;-18,64603463;-48,19378836
301985;Araguatins;-5,646993423;-48,12357508
300844;Araioses;-2,891303425;-41,90532873
305233;Aral Moreira;-22,94270013;-55,63223184
301379;Aramari;-12,08884484;-38,49725572
305520;Arambaré;-30,90972858;-51,50504616
301860;Arame;-4,888236664;-46,00866472
303348;Aramina;-20,08861748;-47,78764823
303948;Arandu;-23,13398862;-49,05394877
304999;Arantina;-21,91065075;-44,25589704
303601;Arapeí;-22,6722259;-44,44450842
301347;Arapiraca;-9,755300493;-36,66177388
302032;Arapoema;-7,655045898;-49,06408633
302748;Araponga;-20,66908705;-42,51821262
304759;Arapongas;-23,41576214;-51,42634991
303371;Araporã;-18,4361838;-49,18514816
303972;Arapoti;-24,14118896;-49,82395646
303308;Arapuá;-19,03495322;-46,1549118
304826;Arapuã;-24,3136483;-51,78607212
304683;Araputanga;-15,46452449;-58,34290822
303998;Araquari;-26,37588907;-48,7192476
300574;Arara;-6,828543437;-35,75550429
304114;Araranguá;-28,93609914;-49,49224683
303685;Araraquara;-21,78498103;-48,17841829
303688;Araras;-22,35771175;-47,38463567
300877;Ararendá;-4,746068368;-40,83131911
301705;Arari;-3,455408986;-44,77706221
305469;Araricá;-29,61731259;-50,92957839
301017;Araripe;-7,213611672;-40,13621976
301027;Araripina;-7,570842622;-40,49603605
303071;Araruama;-22,87013805;-42,33299185
300564;Araruna;-6,534606825;-35,74091879
305032;Araruna;-23,93196436;-52,50253923
301760;Arataca;-15,26556002;-39,41934676
305156;Aratiba;-27,39825917;-52,2979108
300910;Aratuba;-4,412691085;-39,04743352
301528;Aratuípe;-13,07731836;-39,00187116
301265;Arauá;-11,26519299;-37,61791037
304034;Araucária;-25,58641618;-49,40517233
303019;Araújos;-19,94513992;-45,16760259
303318;Araxá;-19,58499953;-46,94158327
303519;Arceburgo;-21,35945565;-46,94045095
304467;Arco-Íris;-21,7732613;-50,4664369
303024;Arcos;-20,28680416;-45,53772775
301196;Arcoverde;-8,415618156;-37,05805266
303497;Areado;-21,3576595;-46,14246058
303132;Areal;-22,22879174;-43,1121551
303841;Arealva;-22,02826748;-48,91167448
300575;Areia;-6,96537331;-35,70260632
301250;Areia Branca;-10,76020724;-37,31144585
300531;Areia Branca;-4,952941409;-37,12552901
300771;Areia de Baraúnas;-7,123789805;-36,94498886
300579;Areial;-7,049900914;-35,92512736
303614;Areias;-22,57907798;-44,69962295
303838;Areiópolis;-22,66798917;-48,66494955
304447;Arenápolis;-14,46276704;-56,8417182
304519;Arenópolis;-16,386054;-51,55972748
302319;Arês;-6,196981037;-35,16284744
304408;Argirita;-21,60875189;-42,82952915
302684;Aricanduva;-17,86699477;-42,55696253
302588;Arinos;-15,91089473;-46,10810474
304271;Aripuanã;-10,17267261;-59,45725835
304322;Ariquemes;-9,906115926;-63,03297509
303820;Ariranha;-21,1876267;-48,79082461
304823;Ariranha do Ivaí;-24,38617604;-51,58436912
302649;Armação dos Búzios;-22,75333377;-41,88492213
304065;Armazém;-28,24529628;-49,02193781
301012;Arneiroz;-6,316910301;-40,16561036
301009;Aroazes;-6,110630061;-41,78251637
300657;Aroeiras;-7,545152767;-35,70684308
300952;Aroeiras do Itaim;-7,277321772;-41,5652038
301822;Arraial;-6,651756666;-42,53488032
303067;Arraial do Cabo;-22,97793661;-42,02707991
303050;Arraias;-12,92276214;-46,94845721
305785;Arroio do Meio;-29,40098079;-51,94494133
300395;Arroio do Padre;-31,44263869;-52,42217735
304133;Arroio do Sal;-29,54435596;-49,88998013
305407;Arroio do Tigre;-29,33360027;-53,08636379
305783;Arroio dos Ratos;-30,08802359;-51,72793677
305841;Arroio Grande;-32,23313342;-53,08663215
305078;Arroio Trinta;-26,9261293;-51,34116086
314300;Artigas;-30,39773183;-56,47001069
303711;Artur Nogueira;-22,57321194;-47,17307888
304545;Aruanã;-14,92627226;-51,08081791
303931;Arujá;-23,3969556;-46,32037952
305290;Arvoredo;-27,07528707;-52,45470949
305224;Arvorezinha;-28,87416513;-52,17853524
304214;Ascurra;-26,95530142;-49,37870916
304369;Aspásia;-20,15899346;-50,72694732
304728;Assaí;-23,37014661;-50,84635114
301014;Assaré;-6,871311315;-39,87109677
304496;Assis;-22,66042388;-50,41872824
305865;Assis Brasil;-10,93938179;-69,56583337
305003;Assis Chateaubriand;-24,41728848;-53,52177304
300767;Assunção;-7,075010264;-36,73136809
301004;Assunção do Piauí;-5,865404056;-41,03918214
303264;Astolfo Dutra;-21,31891976;-42,85757063
304763;Astorga;-23,23229202;-51,66720781
295791;Asunción;-25,27090256;-57,6709457
301149;Atalaia;-9,512331615;-36,00884983
304782;Atalaia;-23,15218476;-52,05552893
305838;Atalaia do Norte;-4,36784843;-70,19107719
304087;Atalanta;-27,42239619;-49,77929662
314475;Atalaya;-10,72829263;-73,78009179
302490;Ataléia;-18,04427608;-41,11524789
303937;Atibaia;-23,11753715;-46,5566593
302620;Atilio Vivacqua;-20,91345674;-41,19892966
301979;Augustinópolis;-5,469030634;-47,88664151
301879;Augusto Corrêa;-1,022010482;-46,64591682
302950;Augusto de Lima;-18,10017947;-44,26589212
305456;Augusto Pestana;-28,51771741;-53,98875701
300553;Augusto Severo;-5,854010102;-37,3108768
305155;Áurea;-27,69405951;-52,05095545
302387;Aurelino Leal;-14,31811007;-39,3226657
304379;Auriflama;-20,68599264;-50,55494739
304977;Aurilândia;-16,67770804;-50,46452916
300833;Aurora;-6,933902799;-38,97453838
304083;Aurora;-27,31026642;-49,62995719
302140;Aurora do Pará;-2,133448778;-47,56031547
302862;Aurora do Tocantins;-12,71088884;-46,40797776
304631;Autazes;-3,586129411;-59,12602472
303885;Avaí;-22,1571067;-49,33100974
303872;Avanhandava;-21,45888068;-49,95130776
303947;Avaré;-23,10720403;-48,92546504
304166;Aveiro;-3,608803296;-55,32035678
302064;Avelino Lopes;-10,13467037;-43,9495552
302609;Avelinópolis;-16,46768966;-49,75826741
301678;Axixá;-2,836648583;-44,05643631
301980;Axixá do Tocantins;-5,617998148;-47,77207655
314412;Ayolas;-27,39284316;-56,81348976
302010;Babaçulândia;-7,204782442;-47,76140096
302434;Bacabal;-4,224863397;-44,78353828
301682;Bacabeira;-2,976502058;-44,31424844
301668;Bacuri;-1,725733022;-45,13996879
301690;Bacurituba;-2,707771287;-44,73798439
303428;Bady Bassitt;-20,91799197;-49,44494898
303177;Baependi;-21,95747245;-44,88780858
305811;Bagé;-31,33097917;-54,10693665
301945;Bagre;-1,900946403;-50,19907785
302334;Baía da Traição;-6,690412265;-34,93352545
302332;Baía Formosa;-6,371181821;-35,00714559
302085;Baianópolis;-12,30756938;-44,53864952
301948;Baião;-2,790598398;-49,66982798
301458;Baixa Grande;-11,95610796;-40,16869323
301877;Baixa Grande do Ribeiro;-7,859880648;-45,20982973
301001;Baixio;-6,720255161;-38,71403627
302531;Baixo Guandu;-19,52176052;-41,01126217
300414;Balbinos;-21,89999051;-49,35694877
302817;Baldim;-19,28799297;-43,9569579
304532;Baliza;-16,19754702;-52,54438541
304115;Balneário Arroio do Silva;-28,98112845;-49,42412656
303996;Balneário Barra do Sul;-26,46018958;-48,6127392
304004;Balneário Camboriú;-26,99307675;-48,63557632
304119;Balneário Gaivota;-29,15320425;-49,58453138
304001;Balneário Piçarras;-26,76978612;-48,67671377
304665;Balneário Pinhal;-30,24242199;-50,23410356
300358;Balneário Rincão;-28,80491107;-49,24111937
304037;Balsa Nova;-25,58084651;-49,62950478
303431;Bálsamo;-20,73499228;-49,58394883
301878;Balsas;-7,532553888;-46,03752846
303244;Bambuí;-20,01708724;-45,97575505
300916;Banabuiú;-5,304949789;-38,91349099
303600;Bananal;-22,68241421;-44,32849463
300442;Bananeiras;-6,744350372;-35,63089466
301613;Bandeira;-15,88388834;-40,56112083
303508;Bandeira do Sul;-21,73127218;-46,38373921
305352;Bandeirante;-26,77096571;-53,64178159
304717;Bandeirantes;-23,10825621;-50,37082932
305737;Bandeirantes;-19,92135211;-54,36399436
302030;Bandeirantes do Tocantins;-7,760435624;-48,5774598
304156;Bannach;-7,3516916;-50,40768745
301313;Banzaê;-10,58304763;-38,61308481
305506;Barão;-29,37636363;-51,4993344
304209;Barão de Antonina;-23,62889077;-49,5637848
303057;Barão de Cocais;-19,93941726;-43,47589169
305160;Barão de Cotegipe;-27,62125731;-52,38027123
301838;Barão de Grajaú;-6,756440558;-43,02690463
304653;Barão de Melgaço;-16,19708416;-55,96655466
304917;Barão de Monte Alto;-21,24488483;-42,237547
305784;Barão do Triunfo;-30,389551;-51,73890024
300537;Baraúna;-5,070174939;-37,61321759
300640;Baraúna;-6,642527221;-36,25502063
303119;Barbacena;-21,2219244;-43,77063886
301178;Barbalha;-7,300842993;-39,3087775
303871;Barbosa;-21,26612511;-49,95223022
304816;Barbosa Ferraz;-24,03384802;-52,00439852
301933;Barcarena;-1,512251548;-48,6199074
300514;Barcelona;-5,950594945;-35,92799395
304249;Barcelos;-0,983747716;-62,93150493
304595;Bariri;-22,0734245;-48,7442368
302276;Barra;-11,08633519;-43,1462631
304598;Barra Bonita;-22,49133021;-48,5587578
305305;Barra Bonita;-26,65446674;-53,44045353
301578;Barra da Estiva;-13,62731428;-41,33058255
302573;Barra D'Alcântara;-6,519355188;-42,10674648
301103;Barra de Guabiraba;-8,421178256;-35,65883835
300573;Barra de Santa Rosa;-6,718580312;-36,06736521
301321;Barra de Santana;-7,517828343;-35,99581942
301100;Barra de Santo Antônio;-9,402730375;-35,51037703
302494;Barra de São Francisco;-18,75531453;-40,89680274
301148;Barra de São Miguel;-9,838855331;-35,90596432
300594;Barra de São Miguel;-7,752708743;-36,31664352
304621;Barra do Bugres;-15,07058966;-57,18822453
304954;Barra do Chapéu;-24,47267847;-49,02420203
301604;Barra do Choça;-14,86588037;-40,57939548
301861;Barra do Corda;-5,497226407;-45,24885495
304522;Barra do Garças;-15,8895322;-52,27195857
305358;Barra do Guarita;-27,19313922;-53,71132471
303959;Barra do Jacaré;-23,11650973;-50,18458316
300409;Barra do Mendes;-11,81044024;-42,05934274
302575;Barra do Ouro;-7,696342329;-47,6779849
303152;Barra do Piraí;-22,47201368;-43,82729452
305830;Barra do Quaraí;-30,2033166;-57,55021596
305502;Barra do Ribeiro;-30,29436439;-51,30181392
305158;Barra do Rio Azul;-27,40732683;-52,40882553
301744;Barra do Rocha;-14,20966407;-39,60017644
304948;Barra do Turvo;-24,75598607;-48,50494899
301242;Barra dos Coqueiros;-10,9000638;-37,03262371
305686;Barra Funda;-27,92093766;-53,03952359
302831;Barra Longa;-20,28734249;-43,04053344
303189;Barra Mansa;-22,54856612;-44,17562019
303999;Barra Velha;-26,63744276;-48,69376139
305344;Barracão;-26,25069579;-53,63283848
305580;Barracão;-27,67433738;-51,45899559
301773;Barras;-4,245072636;-42,29249984
